bag,inst,img,case,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9,principal component 10,principal component 11,principal component 12,principal component 13,principal component 14,principal component 15,principal component 16,principal component 17,principal component 18,principal component 19,principal component 20,principal component 21,principal component 22,principal component 23,principal component 24,principal component 25,principal component 26,principal component 27,principal component 28,principal component 29,principal component 30,principal component 31,principal component 32,principal component 33,principal component 34,principal component 35,principal component 36,principal component 37,principal component 38,principal component 39,principal component 40,principal component 41,principal component 42,principal component 43,principal component 44,principal component 45,principal component 46,principal component 47,principal component 48,principal component 49,principal component 50
3,10,V12_S_4_001_6.jpeg,3,-2.947943619040408,-2.243316519601097,-2.918754832878121,-4.743560761813147,3.4489651920873263,-0.7036181669659067,-0.006474420620568633,-0.2386898756896651,2.454615522102028,1.9258879076261408,-2.32015943043917,-1.4911938132779075,-0.48459523559190404,1.4922527790169342,0.9769961664898733,0.37024766427415606,-0.15270307852703252,-1.893448400697862,-1.7733409687222756,-1.6556997778949463,1.8038774500261756,0.3953750836819091,-0.14381303182804772,-0.4493269844967501,0.4961032985747969,-0.569130821432561,0.6797604091985336,2.1015350998582027,-0.4686687565765596,1.032516684782852,0.7443011425835103,-0.4372940370418947,2.046051577424227,-0.21402960056140957,-0.19221402301617174,-0.8454362316388784,-0.00851686703341481,-0.17691903907377082,0.3858632361137533,0.9319824720242789,0.9405297431296253,0.5965673269735812,0.5949235867272967,-0.5432567221584709,-0.24680444403803342,-1.2144771150119578,-0.07095818358897321,1.1122029172112837,-1.14525158186688,-1.297225679787035
3,11,V12_S_4_001_7.jpeg,3,18.031451236591312,4.758022505050795,-5.569601794384445,0.8559700138252702,-0.7282971720928999,-1.417227339860863,-2.2633807273399635,-2.2628579008264587,2.6789261230400574,-2.221740012407699,0.04001693731312106,1.4933319988644886,-1.4011641084075885,-0.9365303054194217,1.1623902254676315,-3.2620678154915774,-1.315077293793915,-0.001918469513947807,0.08970746958902825,0.336393856952646,-1.6780916213946693,-0.10680274778003418,-0.07032746838486381,0.15750011230610972,-0.5542808542175774,-0.8018211781049996,0.6794907478487184,1.1879163635988834,-0.19747313560881394,0.11781325005988852,-0.5574209012592516,-1.5935825498930642,2.1189649427117905,0.362583923871875,-0.6450018776110107,-0.7115365269968174,-1.6964180950522048,-0.9438337459718326,0.9171393609913342,1.1174452454121244,-0.15512149361732586,0.4430913464090943,-0.9952943560696729,-1.3194453330105875,-0.3367796740852862,-1.2070367664117296,-0.6570043934826261,-0.09633662092198164,0.8863503228084406,-0.1823102902721317
3,12,V12_S_4_001_8.jpeg,3,-8.70226401390273,-12.094056806320156,4.011670824761264,-2.264924611788896,3.7690948662575092,-0.2069784657718694,0.37619027155185747,-1.7121115636078743,-0.27185411295008066,-1.59610340401503,1.3301511374661006,1.2299797111770052,-0.007513125065785886,1.6588916076441045,-0.0855010162780444,2.0541153314896006,0.6827521231138491,-1.5668884705696882,1.745273753904684,-1.063214281880653,-1.6820345592121806,-1.1616568221969947,-0.10967026592894058,2.053007650111302,-0.23641957982655892,1.944419116519152,0.5149435404201848,-0.3159382873193078,-0.7206456559687454,-1.1745278434146234,0.6192924775450319,1.3475086803593186,0.5235002511097123,-2.3684529311270435,-1.152890732495425,1.6391342859486335,-0.8544984681631242,-1.0404835486092325,0.8687143193892436,-0.4041334469957517,1.400243771009005,0.6523663337703308,1.0698707561109786,-0.13146919543905278,-0.502263588380685,-0.8503204222931694,0.6558254098303923,0.500499369780178,0.3095770422747858,0.1407500661744281
3,13,V12_S_4_001_9.jpeg,3,5.790789262312909,-1.1042299146942072,-4.319220755628478,-2.117026890142496,2.8295107809291786,-0.4242477191616745,0.07987490253576657,-0.830666081403716,0.8826619815351633,8.070033666826355,0.215819436485432,1.283581458079007,3.4376447131013124,-0.9145096127633217,-0.006063062426639204,-0.6636432416781071,-0.8637832245030831,0.11901628733433944,2.271939690499521,0.8969650556370228,1.1827369549398623,1.6988285864777066,-0.6494540871389023,-1.4230093173228218,0.009558803598295862,-0.2569083187443884,-0.15925431314060823,-1.590655993028135,0.615130805592676,0.311047321032233,-0.10526416167051711,0.09543424744576257,0.2350869722364142,-1.2949907560914298,-0.9447349516832111,0.6262073157021251,-0.9007793875158332,0.23927858525767653,0.15462793603831748,0.6096592807161425,-1.5354441472322429,0.6203008718517347,0.6284712320950201,-1.1338625449978015,-1.5952635326516669,0.42245053309564684,0.2685519929339663,-1.0014508732302179,1.056558153586007,1.684551308993023
3,14,V12_S_4_001_0.jpeg,3,-15.193082309882687,-4.8004572732688615,-1.5274260175848033,2.2933072804299837,-1.2625907798116087,2.021306381433006,-4.94205902412971,0.8838915674497362,-0.4107215309163956,-0.4599768638684111,0.9517851733125791,0.16694585764903724,-0.6940333746003517,-0.5461902826206595,0.1707874630176464,0.5531141484069273,0.06628598154831167,-2.427236247621304,0.603099026277401,-0.07156615004158806,-0.48239785353641473,-0.27603314662505296,0.02736130762940081,-0.5183297851369311,-1.2890907038070893,-1.5772656781716599,-0.3920143439048076,0.010498804172953236,-0.4817536001492577,1.0186306411883903,-0.09759269672425441,1.155770947990834,-0.9242148330938538,-0.2569674565184604,-0.42414175285547934,0.16854743760045746,0.03991071390780543,-0.5671544955076224,0.03436619024737131,1.5227333179203275,-1.1241156573215054,0.565152209847903,0.1604907018300324,-0.8401163361444077,1.9978179884878757,1.4374140561965176,-1.113611025755056,-0.6637343470925768,-1.0286640717724225,0.171050796293708
3,15,V12_S_4_001_1.jpeg,3,-8.802534139451936,12.368448167126934,8.540995784153395,1.1374771365039456,6.173509117371585,1.9169848777522887,1.4929550533894989,0.29437413029187826,-0.4756718951084431,0.15192227029900843,0.2171740986209502,-0.4101856332065459,1.3413337142752546,-0.4192245888864169,-0.09688198831091198,-0.6734623893079854,-2.128195748936484,1.1211584178378389,-0.4503468274718568,-0.45930326119406334,-0.8074637152631535,-0.2734101705106463,-1.7043979224103645,1.346972142503876,-0.6539255972476403,0.7342385069526784,-0.3877578534228999,0.7578218495012639,-0.45255503254977614,1.0667946140018576,0.6428890742645533,-0.8359844343124875,0.36968269030361733,0.7362810661352663,0.8258699913661208,-0.12408524664737819,-0.021074119633315402,-0.018324926356020302,-1.2039251928418513,0.20545666747046598,-0.31301818759669847,-1.0431754108094542,-0.38594716960395214,0.296824519452753,0.49631855198878494,-0.5716108257996023,1.2365981070439878,-0.8889898430411642,-0.24898124617731154,-0.035949879524064365
3,16,V12_S_4_001_10.jpeg,3,-10.292890727661845,6.085327149319449,3.013992115137902,0.9759372023835959,0.5527468036735121,-0.35138118696211074,-1.0807123362736377,-1.0027625850810518,1.5802039642837031,1.1261229198005847,-1.1287313582374379,-1.3683307711888424,-0.6052519751020217,-0.21832186352715865,-0.7232922995138911,-0.1704325061222195,-0.4269316769842877,1.5700702667736657,-0.8439444346299665,-1.0963995605666157,-1.05021349702724,1.1065994618448198,0.48689095468847077,-0.2288689562921103,0.4459753039521742,-0.8912015767982229,-0.7702976286281569,0.6181617849835288,0.21352712016167696,-1.507956985669527,-0.4973389506205554,-0.5812856120158827,-0.4499980687306547,-0.37701852156120075,-0.10644739040817108,-0.4911395370264746,0.11231123142783561,0.05139321035766797,-0.4965176165188885,-0.3022696822227574,-0.27561245070128876,-0.08798232885469684,-1.094107390461096,0.06153438567131836,0.4292375280751841,0.45157202766429516,0.24851273276872388,1.1800677175913727,-0.65645207904493,0.26816535688008675
3,17,V12_S_4_001_11.jpeg,3,4.2697024290809775,3.9668905562652212,-4.494457181892761,1.4366676579311772,-2.410290387111728,-1.5965613292500724,2.5673297479015664,0.23230818787441787,0.9332215516301813,-0.21360487453117055,-1.6094052424859762,1.9095775967227102,0.1907854353394408,1.0792140996188715,2.4404931410355726,-1.0634336233378314,-0.19756164788885722,1.5815003270161103,-0.6770145892927673,1.8201220573911958,-0.12601368290142784,0.7682806927527399,-0.1237219205811464,-1.0235960214528812,-1.2030656655173115,0.7040614907138768,-1.0374211989614375,0.9048811870361717,-0.6233184824272616,1.3845673681804525,0.6510289707053409,-1.3403064218542682,0.4107013404884461,0.5493473737192006,0.2971398832151939,0.15547794342530724,0.46122859555597406,-2.0050128997385555,-0.6714470367859754,0.04335562294601021,-0.13306064132432763,-1.2471880144020095,1.0824976470120002,-0.4618616831981618,-0.3256565655759321,-0.4746895541519366,0.5383526790548187,0.6722192039705615,0.16742841597403016,-0.326158018749121
3,18,V12_S_4_001_12.jpeg,3,-2.9557989326700254,3.640265004787851,-1.8883283994730111,-2.6178677977881915,-1.035653244486031,-1.4614359983534662,1.023540861823125,0.08894571113976645,1.2761854697756727,0.11958174358322293,-0.8615036554135551,-0.8925295999238736,1.631995632500101,-0.46864453186931854,-0.9863602008002337,-0.28860257830254427,-0.8211589280832475,0.7636728431278588,0.011212566069219165,-0.30040896631600295,-0.29010805941684625,0.18231359293328997,-0.09899168495760946,-1.0530257504163354,-1.0394942269381693,0.27460088323481935,0.0635882182822056,0.9611426270760821,-0.42049860836849473,-0.7080735096208807,-0.21135222926266845,-0.4001048886483765,-0.5445416964644654,-0.03823796407120833,-0.038952451137587496,-1.0386663841775952,0.14033525591209906,0.7920367813909331,0.06042269896594046,-0.25390486417400926,-0.16609862180366147,0.04114039782979946,-0.0924320312762677,-0.5883567023612042,-1.0227171535680188,-0.11424825191740039,0.39137213949728555,0.8380333613122352,-0.5143659619338358,-0.12968345531636405
3,19,V12_S_4_001_13.jpeg,3,0.2930653924380161,8.460572261569933,-1.6972184525233351,1.2291208650696688,-5.280428638827807,-1.9617695060387386,1.3817670076371733,0.4186680096543094,-0.06777353118111573,0.2614000661284603,-1.7889935820807832,2.2011968369966395,-0.17977039331294026,-0.6157135541258052,1.375270881025545,1.0510701690686695,1.7045317328318532,1.4948126299619184,0.1857000224285002,-0.6522123075280105,-0.28628657002162555,0.5454940211272965,-1.6295602840177674,-0.11135407723094243,-0.9617819493411948,0.18688676098111312,-1.2051089984257097,0.16444788393820203,-0.11630260774867429,0.5364312466415211,-0.16063086349426953,-0.39938223911214904,-0.46497271890844455,0.6581609018590329,0.33428052159457783,-0.07134985755198997,0.688055366890906,-1.4178283086499057,-0.22406651071365621,-0.0959692106997505,-1.3329602618607983,-0.11923220281233865,0.2917387403875663,-0.10492805437097769,0.6264189104755411,-0.5159519997653798,0.11531114791985617,-0.2890128288481029,0.3474636330851093,-0.04063875329261593
